Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
16/03/2026,0,"2,280 %",21/01/2026
18/05/2026,0,"2,370 %",21/01/2026
14/09/2026,0,"2,410 %",21/01/2026
15/03/2027,0,"2,590 %",21/01/2026
18/09/2028,0,"2,760 %",26/01/2026
14/04/2031,0,"2,910 %",21/01/2026
18/06/2035,0,"3,090 %",21/01/2026
18/07/2039,0,"3,350 %",21/01/2026
14/08/2045,0,"3,550 %",21/01/2026
19/04/2055,0,"3,950 %",21/01/2026
Total,0,,
